index,artist_id,artist_name,artist_popularity,genre,followers
"0",25yJrwrn5I0EUdQEiTtNSO,Lefa,57,"francoton, french hip hop, pop urbaine, rap calme, rap conscient, rap francais",521149
"0",3bRGJQd7b4lE3ZAEMfOXJp,Luidji,60,"french hip hop, pop urbaine",287865
"0","0SXZ0s0MoLOjw4Af6i3OGC",Tsew The Kid,57,"french hip hop, rap calme",236085
"0",6wjkiUBMMYSIx5UBTp7eKC,Bekar,58,"french hip hop, rap francais",45617
"0",2vik8lyw8WiALKMJK7C3hn,Ebenezer,43,uk hip hop,19132
"0",6FyY3mlFrDdKUX35GrzeOZ,Smeels,56,"french hip hop, pop urbaine, rap calme",31012
"0",1cYA2rnKwpVYe9iVH3Djjm,Yuzmv,58,rap calme,134132
"0",4J3vhZNPel1Tyj2GHsXi6i,Moji x Sboy,53,"french hip hop, rap calme, rap liegeois",95313
"0",3r03pmZDGQnWxIeWE4TsOq,Suzuya,55,rap calme,147612
"0",1afjj7vSBkpIjkiJdSV6bV,Médine,53,"french hip hop, pop urbaine, rap conscient",308119
"0",70GOdbV3l3bRrYkRhsgDvY,SONBEST,32,rap calme,10587
"0",7l6m2BySHwnjJuw22SXwh5,Limsa d'Aulnay,42,"french hip hop, rap inde",12874
"0",3p4FNslxuuEYSEnMsx4YI1,Hooss,44,"francoton, french hip hop, pop urbaine, rap francais, rap marseille",432278
"0","0FO41jGlT3izLX7oULFUlr",Chinwvr,38,rap calme,8701
"0",5oWCZVOBaS8Bn3JW6Wy4cn,Mussy,36,rap lyonnais,9927
"0",67MIpliQaIhUN1WLSkYEqC,Le Juiice,38,"drill francais, trap antillais",14541
"0",30CSER9MSe5LNqFtdFkIm8,Pxrselow,45,rap calme,23106
"0",7ztNNzgtrVd1rj5R4owjNb,Panama Bende,27,"",42393
"0",2kPJ3uWBBRjfh0dZNEW7ET,Nakkia Gold,40,"",3142
"0",4PWX2fYVnAH1ZQb49eu80Z,TLF Trio,18,"",248
"0",7dINPw1hvqfOfel1gXqmrH,Venlo,21,"belgian hip hop, rap calme, rap liegeois",8769
"0","07AVQPcsmgWj8tdnh3EEfY",Le Gouffre,"0","",10
"0",6e8flkZ70WOzklwhYol7qA,Seventiine,27,rap calme,4497
"0",6qPPtVNY9JUQ7PXRdHEc7B,2Fingz,36,"",2022
"0",6XZ5CeeiJQgPhxrSraoS3V,Lekden,30,rap calme,11319
"0",4awhMsXo3JF58taQJn8BWi,Jeune LC,18,"",902
"0",5FnCg8cLbRYu3vK0zUu7UY,Ultimate Bitches,"0","",3341
"0",5IQ0PmjPBfZvJMsspaJvdE,Rezinsky,16,"",3215
"0",4fOyMzdEPjYEdr0KmoXWDr,sydsavage,"0","","0"
"0",1RVc7voN6vj77NQ7OvKEXp,Zifou,28,francoton,28844
"0",2FxP1QGYEVLE2pI1TBBDQs,Matt Koziol,30,"",3067
"0",47jHlYxfsEf1hgOTpiKzyL,Carson Raskin,30,"",1811
"0",4gamrW01cAkBcwSOXX6GPP,DEATHSKOR,15,"",1326
"0",4pH1epBjcVugt3T016wN9V,Rufyo,2,"",200
"0",5Auhw4cNPIj6DVS3AqCcz3,X.I.aM,"0","",11
"0",7lmOPad5dsOfryNQB2sDay,JuicemanSF,26,rap montrealais,1448
"0",31DXlldabwPHwu6dYevuzK,Simian Mobile Disco,43,"alternative dance, big beat, electroclash, electronica, filter house, indietronica, new rave",162333
"0",5xR840JiAb6BsLiwQA0Hth,Breizman,"0","","0"
"0",7uIo8EfLaxGJVWA7W92qiM,Dellati,17,rap calme,8402
"0",5zXtHMXWMNFxDtGlIXiZSR,Sear Lui-meme,"0","","0"
"0",2fMFJiI4WIHKO9TCAfMVCK,La Mannschaft,6,"",1277
"0",2S39q8o1V5X9uAqy61CZ3p,Monseigneur Mike,4,"",283
"0",4devmkVuyvExO5WKZWBaN1,10vers,22,rap inde,3026
"0",6SKYkuhbbOviLEOvY5fm1z,Stomy Bugzy,1,"",623
"0",4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,61,"adult standards, brill building pop, bubblegum pop, rock-and-roll, rockabilly",497614
"0",16H2UwAoh7WkKCWZy0pN2x,Sir Doum's,23,old school rap francais,362
"0",1hkgAMqL4c7rxNwRBDL57P,Heresie,"0","",39
"0",1Ho9HqcE3P1Edmw2UuruV3,2waves,"0","",4
"0",5UkIlsGbV5qQhNtIdQurGF,D.M.V,"0","","0"
"0",3o115WI7Jdg9yk69WA7kpk,Cortège,"0",bulgarian metal,133
"0","0FGXk55LhFkT8MY4AITtbN",Jeune Ras,"0","","0"
"0",4N2LI4apDLyWRMxFhXBRo1,Masta Kim,3,"",1077
"0",4rM8KSQYbK6Nzryf9d2Y4N,DracoBoys,"0","","0"
"0",2f8jDUUIoOQWjiVo9MlWgf,Chocolate Soul,"0","","0"
"0",2MgeKJl26Mz0xjUVBQe8na,Lionel D,13,"",321
"0",1rBmnbjFdagpUsHVIpSUQq,Lun1k,"0","",3
"0",2AzkTn1OacuGpAKZ1kvKHN,Ritmo de la noche,"0","",1
"0",5YGnhKKWnnlfVGHzwO9Vly,La formule,5,"",78
"0",1am0596m6SvSnDqXlIGiTr,MR JLK,"0","","0"
"0",2M374nT5cdUSGIphe285kR,Dirty Taz,"0","","0"
"0",5cHEMXrGvrs8I6iYWNwTkh,Les Sages Poètes de la rue,30,"french hip hop, old school rap francais, rap inde",31028
"0",18OsG5GQKiEySVD9wHMFW9,Malik Bledoss,"0","",1
"0",1fd3fmwlhrDl2U5wbbPQYN,Apashe,61,bass trap,280837
"0","0gQvCnbbJ9zjSRAmyunhTe",Rastamatic,"0","",1
"0",1X7IOEy0F1Qar9IXsIpM6f,Fik's & P. Kaer,"0","",72
"0",3xyYFl06TGXINQ4v2cXujr,Ghetto Diplomats,1,"",72
"0",6w7ZGy2z7U1Dzg4YwCOgCj,Les Médecins de Medeline,14,"",3081
"0",5gTqc3p5WdszJ2AtGElosu,LRMEO,27,"",143
"0",3nTN6Og4e3KtRgf95E1Ww7,La Legion de Eva,10,"",151
"0",73hUOpJIVPKl4pQRFXyEwB,Kevin Ramos,4,"",58
"0",4B1xyPCfytEmk4NB3ZZVir,Ness et Cité,1,"",267
"0",3aIDSTKS9yH745GUQBxDcS,Fish Leong,59,"malaysian mandopop, mandopop",652072
"0",5zXtHMXWMNFxDtGlIXiZSR,Sear Lui-meme,"0","","0"
"0",4X4RaPRuVyNe0X1d0uHG1H,Manu Destroy,7,"",473
"0",1gvykSoZ2FsfbsnKywDQnW,Y.LOH,17,"",552
